"","X","TwoFactor1","TwoFactor2","Linear01","Linear02","Linear03","Linear04","Linear05","Linear06","Linear07","Linear08","Linear09","Linear10","Nonlinear1","Nonlinear2","Nonlinear3","classe"
"1",1,-0.975711250196071,-0.156065539238104,0.701835354838214,0.329619595278321,-0.553256890254747,-1.08642018396819,0.707725615077783,1.52390665924537,-0.834832013757155,0.559464187121763,0.942286642245941,-0.203277330044962,-0.577610798645765,0.550903639290482,0.462480961112306,"Class1"
"2",2,-0.774125500647466,-1.07040127130406,-0.634364903427607,0.129032849867445,-1.82185661918074,-1.63297504410961,-0.328784774037305,-0.361521401503222,-0.740043337956552,-0.292905616447482,-0.549671775267986,0.0399386422088566,0.479113623965532,0.350741814821959,0.0855836740229279,"Class1"
"3",3,-0.620676734072405,0.289162042816052,2.46369545642964,-1.1451731483575,-1.23425040298419,-0.0371079320171087,-0.444271538686132,1.0335117714158,-0.261867772066317,0.766585576761132,-0.732695323516176,0.225006672394077,-0.479226279072464,0.824549000477418,0.489740944467485,"Class1"
"4",4,0.950137285257862,2.30519514527443,-2.16778926575893,2.2002965525581,0.357597209260946,0.733872215077102,0.940352057936277,0.886957103137071,0.111960950460957,1.91908348238307,1.79580977323671,1.70114700900969,-0.994046102277935,0.789206753484905,0.364445158280432,"Class1"
"5",5,-0.736432360465538,1.38968209819948,-0.739408156678706,1.3239522190001,-0.239612280776949,0.197905669262838,-0.946832310113385,-0.682941810537257,0.114987436481174,0.203489327937039,0.352857724828319,0.67264241977012,0.170099456328899,0.945276166312397,0.181875826558098,"Class2"
"6",6,-0.656064430491383,-0.197127311417692,-0.517620534134319,-0.765316233683964,-0.627484392166402,1.70360667346764,1.83964172008009,-0.408551043686423,-1.87180555096898,0.657621899389798,-0.830134609245182,0.0365832828535817,0.729225579183549,0.832283220952377,0.791656028944999,"Class1"
"7",7,1.58618275972735,1.16806366444904,-1.94240084834973,0.880190312055504,2.24661391301211,-0.305956220930293,0.778264777391536,1.04006943247054,0.475022550630206,-0.604801559698331,0.420679125667905,-0.662957777600666,0.598107543773949,0.251257913419977,0.572130780201405,"Class2"
"8",8,1.78346818432802,2.13596751028563,-0.467345369269076,0.310375844734563,0.666591108265193,0.778360635592591,0.626083688618269,0.748713361293459,-0.238060669254776,0.394171825392103,0.560139309525175,0.140455716255587,-0.975959630683064,0.344090049620718,0.44428481743671,"Class2"
"9",9,0.19111815901202,-0.309851061019459,-0.373328534765085,-1.67638772612765,0.885643503053297,-1.69876085716704,-0.63812890690854,0.60859396005527,-1.54913184672184,0.28728605951108,-1.57769665542418,-0.955645581850875,-0.0737278149463236,0.567538942443207,0.492406087229028,"Class1"
"10",10,-0.826259084096595,0.201611808289152,-0.174109578292498,1.41815073818236,0.645075902699793,-1.12163141534104,-1.34992826418152,0.89860377915487,-1.77176359573239,0.467904149109698,0.610497159912491,0.788764948777938,-0.0366026638075709,0.907905596541241,0.00080920872278511,"Class1"
